TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
36724087.02,732.02,1,P,12.252090,0.0005000,1546.848329,1.36,154.646400,-11.71670000,10.53,3417,1.785,,0.300,,3329,4.950,0,,30.80,9,0.0546,49.95,0.00,2.0,0.3,305,,,-,-,FALSE,"LTT-3780 Clouteier+ 2020, Palle+ 2020",TRUE
260004324,704.01,5,P,3.814330,0.0000300,1327.418439,1.47,91.084800,-55.31300000,10.09,476,1.088,0.064,0.501,0.030,3625,4.783,0,0.502,29.87,5,0.0199,16.30,0.00,27.0,0.3,581,,,-,-,FALSE,Gan et al 2020,TRUE
234994474,134.01,5,P,1.401500,0.0001800,1326.033176,1.26,350.031300,-60.06520000,9.17,566,1.390,0.090,0.600,0.022,3800,4.040,0.04,0.620,25.15,1,0.0213,7.41,0.00,157.3,,,,,-,-,FALSE,"GJ 4332b, Astudillo-Defru et al 2019",TRUE
34068865,731.01,1,CPC-,0.321921,0.0000190,1543.492309,0.63,146.124300,-45.77650000,8.01,242,0.746,,0.459,,3518,4.825,0,,9.40,9,0.0149,3.32,0.00,574.8,0.3,1248,,,-,-,FALSE,"Gl 367b, Lam & Gandolfi 2019 (in prep)",TRUE
103633434,1235.01,1,P,3.444650,0.0008440,1683.620171,2.17,152.215862,69.27654600,9.92,804,2.142,0.190,0.630,0.019,3912,5.000,0,,39.63,14,0.0312,13.08,0.00,56.8,0.3,700,,,,,FALSE,"Bluhm+ 2020, Cloutier+ 2020",TRUE
243185500,1468.01,1,P,7.766238,0.0026940,1766.928147,1.76,16.654062,19.22587800,10.89,3430,2.333,0.274,0.369,0.011,3382,5.000,0,,,17,,,,,0.3,,,,,,FALSE,Chaturvedi+ (in prep),TRUE
243185500,1468.02,1,P,1.880492,0.0012070,1765.678776,1.06,16.654062,19.22587800,10.89,1530,1.500,0.500,0.369,0.011,3382,5.000,0,,,17,,,,,0.3,,,,,,FALSE,Chaturvedi+ (in prep),TRUE
370133522,1078.01,1,P,0.518224,0.0000250,1654.105559,0.72,306.925400,-56.45730000,10.28,848,1.135,1.071,0.383,0.017,3325,4.887,0,,22.40,13,0.0272,5.15,0.00,191.0,0.3,947,,,,,FALSE,GJ 1252b Shporer+ (in prep),TRUE
150428135.01,700.01,4,P,16.051040,0.0002250,1340.087963,1.25,97.096855,-65.57930600,10.88,2704,5.467,,0.378,,3482,4.438,0,,31.10,"9,8,7,6,5,4,3,1",0.1327,51.26,0.00,2.3,0.3,315,,,-,-,FALSE,Gilbert et al (in prep),TRUE
150428135.02,700.02,1,P,37.424812,0.0026220,1330.474463,3.28,97.096855,-65.57930600,10.88,721,2.685,,0.378,,3482,4.438,0,,31.10,"9,8,7,6,5,4,3,1",0.0652,90.13,0.00,0.8,0.3,237,,,-,-,FALSE,Gilbert et al (in prep),TRUE
150428135.03,700.03,1,P,9.977386,0.0002630,1331.359240,1.97,97.096855,-65.57930600,10.88,598,2.452,,0.378,,3482,4.438,0,,31.10,"9,8,7,6,5,4,3,1",0.0595,37.34,0.00,4.4,0.3,369,,,,,FALSE,Gilbert et al (in prep),TRUE
77156829.01,696.01,1,P,0.860233,0.0000150,1411.473809,0.55,68.177600,-39.78670000,10.51,641,1.071,,0.361,,3450,4.890,0,,39.40,5,0.0272,7.51,0.00,104.1,0.3,814,,,-,-,FALSE,Silverstein+ (in prep),TRUE
