 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,JD_MOBS,HJD_MOBS,BJD_MOBS,ALT_OBJ,AIRMASS,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4,RA_T1,DEC_T1
405,cpt1m012-fa06-20200223-0460-e91.fits,405,0,58903.46398,2458903.463980,NaN,NaN,NaN,2458903.467445,NaN,1.066878,33.492651,24,42,63,0.217161,0.544574,0.367891,0.608959,0.000205,0.000448,0.000328,0.000493,1061.176475,1215.558872,1123.004919,1234.265824,6817212.807,2681.607025,1950.42772,1924.368107,1950.92772,1885.131893,1480436.101,1809.557368,1267.73523,1167.780201,3111.86377,818.120568,51.110084,5818,27.53008,21.808018,21.223922,22.392114,288.134791,0.995592,301.279189,3247.016393,2274.640835,3247.516393,1534.859165,2403559.169,1589.504448,1512.14372,6161.853516,1328.258065,51.78225,25.96913,20.693256,19.020881,22.365632,276.676663,0.972759,217.553814,987.728763,1678.597615,988.228763,2130.902385,1833474.511,1398.991982,1310.568277,3966.897705,1013.217123,51.690234,19.985262,29.009206,29.191085,28.827326,315.846143,0.819721,298.059379,1084.230999,1082.554396,1084.730999,2726.945604,2580179.126,1645.391529,1568.124718,5376.913086,1425.862021,53.505784,27.627223,22.973426,23.215231,22.731621,40.62677,0.98084,284.430189,10.448039,-52.483835
406,cpt1m012-fa06-20200223-0461-e91.fits,406,0,58903.46448,2458903.464477,NaN,NaN,NaN,2458903.467942,NaN,1.067012,33.285858,24,42,63,0.217866,0.538952,0.373738,0.60703,0.000205,0.000443,0.000331,0.000491,1065.179948,1215.838421,1129.2628,1235.904257,6843759.285,2687.327532,1950.42772,1924.368107,1950.92772,1885.131893,1491024.882,1809.557368,1271.463109,1172.684344,3482.308594,823.972154,50.815932,5669,27.436175,21.441497,20.953763,21.929231,290.284981,0.996417,254.590309,3247.016393,2274.640835,3247.516393,1534.859165,2396732.709,1587.520239,1509.73364,6505.998047,1324.485618,52.019561,25.864012,20.32069,18.62081,22.02057,278.165246,0.970027,203.144132,987.728763,1678.597615,988.228763,2130.902385,1861906.321,1409.729571,1320.754249,4421.461914,1028.929148,52.237597,19.306509,28.892317,29.392373,28.39226,317.269194,0.80874,255.853477,1084.230999,1082.554396,1084.730999,2726.945604,2585120.256,1647.474217,1569.141556,5859.285156,1428.592594,53.976695,27.044085,22.795558,23.091778,22.499338,39.785914,0.97939,252.124809,10.448173,-52.483158
407,cpt1m012-fa06-20200223-0462-e91.fits,407,0,58903.46496,2458903.464963,NaN,NaN,NaN,2458903.468428,NaN,1.067151,34.304955,24,42,63,0.218519,0.551496,0.355548,0.618773,0.000206,0.000455,0.000321,0.000503,1058.795584,1211.808186,1107.701948,1230.417355,6755658.743,2670.90772,1950.42772,1924.368107,1950.92772,1885.131893,1476241.923,1809.557368,1266.228366,1165.857567,3120.896484,815.802775,51.253499,5867,27.601696,22.413832,21.84869,22.978973,296.977537,0.992665,285.074527,3247.016393,2274.640835,3247.516393,1534.859165,2401372.717,1589.102422,1511.150372,5699.044922,1327.049785,51.836659,26.006161,21.180944,19.418131,22.943757,278.936673,0.969832,242.491726,987.728763,1678.597615,988.228763,2130.902385,1771947.786,1377.281357,1286.554687,3993.39917,979.216142,52.479619,21.982671,29.379466,29.657265,29.101667,316.24152,0.809495,274.625187,1084.230999,1082.554396,1084.730999,2726.945604,2582338.24,1646.69293,1568.196592,5242.026367,1427.055193,54.509767,28.343433,23.418385,24.096203,22.740568,31.402309,0.983984,287.15796,10.448031,-52.483632
408,cpt1m012-fa06-20200223-0463-e91.fits,408,0,58903.46546,2458903.465457,NaN,NaN,NaN,2458903.468922,NaN,1.067298,34.148479,24,42,63,0.217738,0.543565,0.370031,0.607101,0.000205,0.000447,0.000329,0.000492,1063.417625,1216.1503,1125.469677,1234.732843,6833948.021,2686.133265,1950.42772,1924.368107,1950.92772,1885.131893,1488007.83,1809.557368,1271.172453,1170.57904,3308.221436,822.304866,51.641472,5613,27.508973,21.692452,21.079634,22.305269,287.689075,0.995206,271.053546,3247.016393,2274.640835,3247.516393,1534.859165,2406568.474,1591.256332,1512.370085,6209.853516,1329.921071,52.880482,25.972252,20.674276,18.960382,22.388171,275.513554,0.971855,215.033808,987.728763,1678.597615,988.228763,2130.902385,1845777.365,1404.151821,1314.514098,4080.244385,1020.015943,52.483013,20.934415,28.932048,29.173677,28.690418,316.121332,0.817828,286.014274,1084.230999,1082.554396,1084.730999,2726.945604,2581602.182,1646.685418,1567.756752,5591.333008,1426.648432,54.230821,27.87332,22.967422,23.23349,22.701353,40.141034,0.981165,264.619619,10.448024,-52.48352
409,cpt1m012-fa06-20200223-0464-e91.fits,409,0,58903.46595,2458903.465950,NaN,NaN,NaN,2458903.469415,NaN,1.06745,34.022423,24,42,63,0.217003,0.542666,0.371152,0.606535,0.000204,0.000446,0.000329,0.000491,1063.659077,1217.834278,1127.788262,1236.481876,6854905.928,2690.260278,1950.42772,1924.368107,1950.92772,1885.131893,1487538.55,1809.557368,1270.832173,1170.523207,3514.490479,822.045532,51.843466,5720,27.499795,21.463988,20.990415,21.937561,285.14671,0.997391,245.435787,3247.016393,2274.640835,3247.516393,1534.859165,2411359.691,1592.495547,1514.201843,6637.540039,1332.5688,52.735877,25.408826,20.380794,18.829385,21.932203,277.566775,0.975413,195.369473,987.728763,1678.597615,988.228763,2130.902385,1855528.743,1408.240826,1317.621751,4390.759766,1025.404762,52.991904,21.47724,28.74172,29.29554,28.187899,317.607148,0.820318,250.732764,1084.230999,1082.554396,1084.730999,2726.945604,2588017.494,1648.731655,1569.702071,5736.79248,1430.19367,54.617307,27.555352,22.977488,23.178439,22.776537,41.679576,0.977127,256.381133,10.448178,-52.483199
410,cpt1m012-fa06-20200223-0465-e91.fits,410,0,58903.46644,2458903.466443,NaN,NaN,NaN,2458903.469908,NaN,1.067607,33.284775,24,42,63,0.217879,0.546211,0.368605,0.606202,0.000205,0.000449,0.000328,0.000492,1062.04132,1215.316364,1122.695592,1232.667766,6815208.826,2682.713908,1950.42772,1924.368107,1950.92772,1885.131893,1484888.815,1809.557368,1270.104211,1169.107859,3560.956787,820.581232,51.657553,5861,27.421383,21.555318,21.161595,21.94904,297.912256,0.995773,238.702933,3247.016393,2274.640835,3247.516393,1534.859165,2407524,1591.464622,1512.772553,6814.523926,1330.449115,52.769851,25.613411,20.380591,18.740358,22.020824,279.99597,0.971039,185.531015,987.728763,1678.597615,988.228763,2130.902385,1835533.527,1400.606108,1310.528004,4530.455566,1014.354979,52.531682,18.282149,28.952847,29.60745,28.298245,317.933179,0.804469,235.584858,1084.230999,1082.554396,1084.730999,2726.945604,2572151.3,1643.927249,1564.638156,5814.435059,1421.425673,54.95522,27.799736,23.016992,23.396932,22.637052,38.388423,0.979181,248.94389,10.448029,-52.483479
411,cpt1m012-fa06-20200223-0466-e91.fits,411,0,58903.46694,2458903.466937,NaN,NaN,NaN,2458903.470402,NaN,1.067769,32.529543,24,42,63,0.217919,0.540159,0.370525,0.610127,0.000205,0.000445,0.000329,0.000494,1062.765527,1214.192639,1124.624659,1234.687441,6826218.868,2685.073353,1950.42772,1924.368107,1950.92772,1885.131893,1487561.256,1809.557368,1271.537426,1169.891838,3666.394775,822.05808,52.586393,5835,27.183673,21.332726,20.833851,21.831602,295.492702,0.994486,233.117541,3247.016393,2274.640835,3247.516393,1534.859165,2394066.411,1587.202728,1508.355782,7086.379883,1323.012165,52.563875,25.782041,20.165864,18.50413,21.827598,280.828799,0.968979,173.712267,987.728763,1678.597615,988.228763,2130.902385,1845487.582,1405.001391,1313.512993,4446.353516,1019.855802,53.596088,16.575623,28.938293,29.437748,28.438838,317.188912,0.795628,252.373815,1084.230999,1082.554396,1084.730999,2726.945604,2586664.875,1648.143653,1569.441395,5910.393555,1429.446184,54.630472,27.292061,22.773935,23.074501,22.47337,39.588254,0.980249,249.247882,10.448192,-52.483499
412,cpt1m012-fa06-20200223-0467-e91.fits,412,0,58903.46743,2458903.467429,NaN,NaN,NaN,2458903.470894,NaN,1.067939,32.946182,24,42,63,0.217626,0.537418,0.376104,0.605472,0.000205,0.000443,0.000333,0.000491,1063.344119,1214.024395,1130.017785,1234.387513,6836580.179,2687.050603,1950.42772,1924.368107,1950.92772,1885.131893,1487820.366,1809.557368,1271.130506,1170.470191,3663.827148,822.20127,52.00783,5793,27.171496,21.310824,20.709547,21.912101,288.63078,0.994981,233.70389,3247.016393,2274.640835,3247.516393,1534.859165,2389787.455,1586.30462,1506.512321,7017.029297,1320.647522,53.35446,25.635891,20.183444,18.461207,21.90568,277.399465,0.969292,179.116532,987.728763,1678.597615,988.228763,2130.902385,1868511.289,1412.447982,1322.888568,5035.536133,1032.579194,53.128208,18.876917,28.924126,29.119459,28.728793,315.847791,0.791654,203.171145,1084.230999,1082.554396,1084.730999,2726.945604,2578281.435,1645.864299,1566.521272,5884.303223,1424.813316,54.905281,27.570882,22.462618,22.731546,22.193691,39.388226,0.98487,252.003304,10.448178,-52.483278
413,cpt1m012-fa06-20200223-0468-e91.fits,413,0,58903.46792,2458903.467923,NaN,NaN,NaN,2458903.471388,NaN,1.068112,32.92368,24,42,63,0.216997,0.541078,0.371893,0.607242,0.000204,0.000445,0.00033,0.000492,1061.771865,1215.702015,1126.97604,1235.128586,6838614.344,2687.240111,1950.42772,1924.368107,1950.92772,1885.131893,1483956.326,1809.557368,1270.164362,1168.318345,3427.638916,820.065919,52.121217,5934,27.295475,21.389762,21.065168,21.714356,298.289847,0.996965,257.513198,3247.016393,2274.640835,3247.516393,1534.859165,2401061.669,1589.419145,1510.653547,6525.365723,1326.877893,53.011761,25.88092,20.374637,18.78059,21.968684,279.693899,0.972818,199.315195,987.728763,1678.597615,988.228763,2130.902385,1853813.769,1407.518172,1317.079811,4293.245117,1024.457031,52.998126,18.120298,28.690054,29.631333,27.748775,319.334001,0.810843,263.666731,1084.230999,1082.554396,1084.730999,2726.945604,2583738.906,1647.391511,1568.381826,5386.688965,1427.829231,55.036811,27.451843,23.121619,23.282946,22.960293,42.340498,0.977342,290.696019,10.448191,-52.48335
414,cpt1m012-fa06-20200223-0469-e91.fits,414,0,58903.46842,2458903.468415,NaN,NaN,NaN,2458903.471880,NaN,1.068292,33.021506,24,42,63,0.216275,0.54228,0.371539,0.606423,0.000204,0.000446,0.00033,0.000491,1061.104826,1216.740786,1127.138965,1235.288468,6842338.114,2687.652963,1950.42772,1924.368107,1950.92772,1885.131893,1479823.836,1809.557368,1267.695417,1167.333901,3384.098633,817.782217,51.745118,5662,27.397797,21.55194,21.077658,22.026223,287.91628,0.997056,264.34793,3247.016393,2274.640835,3247.516393,1534.859165,2405828.989,1590.335009,1512.781254,6738.757812,1329.512416,52.167754,25.653702,20.34191,18.744721,21.9391,275.92521,0.974569,191.711794,987.728763,1678.597615,988.228763,2130.902385,1853533.611,1407.30199,1317.08306,4514.1875,1024.30221,52.753107,18.497611,29.099679,29.623927,28.57543,317.324166,0.802449,246.153716,1084.230999,1082.554396,1084.730999,2726.945604,2582975.513,1647.365811,1567.942892,5942.759766,1427.407364,54.709124,27.613236,22.660808,23.105486,22.216129,36.873646,0.980351,243.984216,10.448014,-52.483516
415,cpt1m012-fa06-20200223-0470-e91.fits,415,0,58903.46891,2458903.468907,NaN,NaN,NaN,2458903.472372,NaN,1.068478,32.748958,24,42,63,0.218074,0.539469,0.374026,0.606072,0.000205,0.000444,0.000331,0.000491,1065.154721,1215.44106,1129.080275,1235.080621,6837747.468,2686.165726,1950.42772,1924.368107,1950.92772,1885.131893,1491136.431,1809.557368,1271.474318,1172.761738,3462.679199,824.033798,51.074616,5827,27.476361,21.407288,20.926817,21.887759,284.931175,0.997323,260.107535,3247.016393,2274.640835,3247.516393,1534.859165,2396118.869,1587.407537,1509.454134,6378.550293,1324.146397,51.902567,25.915343,20.323402,18.684498,21.962305,276.095937,0.973124,213.11971,987.728763,1678.597615,988.228763,2130.902385,1861315.213,1409.274848,1320.760969,4326.497559,1028.602489,51.979178,17.417822,28.886159,29.41014,28.362178,317.420526,0.815318,266.462235,1084.230999,1082.554396,1084.730999,2726.945604,2580313.386,1646.076554,1567.553696,5675.262207,1425.936216,54.419575,27.164802,22.870256,23.156231,22.584281,40.468245,0.974805,270.397751,10.44817,-52.483113
416,cpt1m012-fa06-20200223-0471-e91.fits,416,0,58903.4694,2458903.469401,NaN,NaN,NaN,2458903.472866,NaN,1.068668,32.87051,24,42,63,0.21683,0.53902,0.374092,0.606471,0.000204,0.000443,0.000331,0.00049,1064.284429,1217.569737,1131.067227,1237.368692,6855424.676,2688.276676,1950.42772,1924.368107,1950.92772,1885.131893,1486464.394,1809.557368,1269.22871,1171.155665,3511.710205,821.451931,50.438838,5672,27.407101,21.381759,20.972036,21.791483,292.783162,0.997005,250.663332,3247.016393,2274.640835,3247.516393,1534.859165,2401016.093,1587.959678,1512.013262,6709.356934,1326.852707,50.720302,25.807843,20.232374,18.639125,21.825622,280.510197,0.971882,194.547247,987.728763,1678.597615,988.228763,2130.902385,1866366.054,1410.648849,1323.055028,4556.841797,1031.393691,51.135095,18.27465,28.79615,29.510724,28.081575,318.202094,0.802268,244.505525,1084.230999,1082.554396,1084.730999,2726.945604,2588042.53,1647.812299,1570.593041,5730.294922,1430.207506,53.226054,27.243487,22.885142,23.148828,22.621456,40.734307,0.975877,265.707652,10.448171,-52.48344
