,TIC_ID,TOI,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,Rs,dRs,Teff,Logg,Teq,Disposition,Sectors
4356,143022742,4323.02,21.9692577844538,0.00025938038,1412.89647401202,3.56623066157515,54.4669196099915,-30.0571774164359,12.531,7940.61523893446,4.10617392108669,0.9829199,0.458860993385315,0.0136024,3414.0,4.77364,296.787886330734,IS,"[4, 31]"
4367,7439481,4339.01,1.25408055209495,3.9808045e-05,2333.9690054514,1.34355168935015,212.929133295901,-29.9740849075707,14.0644,66025.0994260211,10.3493319111719,0.37656295,0.399724006652832,0.0125234,3455.0,4.82691,746.89960144404,PC,[38]
4369,399642071,4337.01,2.29018175790731,0.0009083393,2335.38779343057,4.52398142888129,164.290162794937,-69.9793792713583,11.1567,2020.58849354244,2.76898422775882,0.97438234,0.617703020572662,0.0645854,3953.0,4.6489,804.879867148291,PC,"[37, 38]"
4370,166184428,4336.01,16.3360299514134,0.0025027962,2335.57260316531,1.98574521741082,206.106157075407,-40.3376476972936,11.0196,4129.51594331187,2.11123898401829,0.5501385,0.326568007469177,0.00988657,3365.0,4.89744,290.941803301989,PC,[38]
4373,176797879,4353.01,718.180931703518,0.00054976414,1427.01973923147,2.92331513745715,48.5823209401421,-34.0341401665575,10.3347,973.626915580975,1.3653088808735,0.7672082,0.425622999668121,0.0126833,3614.0,4.80335,206.682479226774,PC,"[4, 31]"
4377,313889049,4349.01,749.160523093357,0.00804294,1355.68964998409,4.98942106332534,0.128238740824328,-26.2315369358347,11.7463,1750.98016908437,2.34389597360103,0.9431504,0.558169007301331,0.0637437,3851.0,4.71539,109.07505170291,PC,"[2, 29]"
4380,389371332,4346.01,3.90771159427544,4.6213863e-05,1494.06052409559,9.52783635353654,86.0193711490542,-66.3592488735883,12.4375,599.631909867529,1.57227991698766,0.5293573,0.640110015869141,0.0189905,3917.0,4.61771,679.492144160818,PC,"[7, 27, 28, 29, 31, 32, 34, 35]"
4381,469791892,4345.01,12.8910022210525,0.0002806083,1657.98382613515,4.09052865938255,298.43844331348,-69.8521022338004,14.752,15119.3900088524,2.35475287711111,1.3727763,0.180000007152557,0.104,31000.0,5.59962,2005.96119339072,PC,"[13, 27]"
4385,354944123,4342.01,5.53832899923516,3.8025082e-05,1654.53242627755,2.22638882354132,324.386930624803,-77.978753103862,11.0318,1407.11186478991,2.27214086268217,1.1171762,0.59817498922348,0.0177148,3883.0,4.65275,585.01697007936,PC,"[13, 27]"
4386,354944123,4342.02,10.6886083506691,0.00011466265,1659.34802255334,2.66722448779472,324.386930624803,-77.978753103862,11.0318,1501.17263406582,2.46422452476959,0.4968625,0.59817498922348,0.0177148,3883.0,4.65275,469.880757130345,PC,"[13, 27]"
4387,62301521,4341.01,18.4043334143754,0.012458659,1661.04855224982,7.87933095348761,291.535826278218,-43.1824601189196,13.7827,9135.21101619144,1.28344327393838,0.16381204,0.133376002311707,0.00396582,2891.0,5.22041,182.796124260207,PC,"[13, 27]"
4394,300710077,789.03,8.0432284524036,4.5478624e-05,1329.96876575554,2.38833357855935,115.2685,-71.3044,11.92,692.327665557561,1.13204420755692,0.9920563,0.373,0.06,3471.0,4.87707,391.625136445536,PC,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36]"
4400,300710077,789.02,12.9705356404721,6.901894e-05,1334.77436548087,2.30181643289083,115.2685,-71.3044,11.92,1119.62395419417,1.26020289233576,0.8869049,0.371140003204346,0.0111606,3471.0,4.87707,335.729529503934,PC,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36]"
4405,4070275,4364.01,5.42406914989545,2.0911104e-05,1439.34024308954,1.68750365400652,80.0666494187155,-4.23943674881378,11.3993,1766.85892964807,2.09370701057662,0.47302234,0.465777009725571,0.0139892,3500.0,4.76752,487.360439035267,PC,"[5, 32]"
4409,52307802,4360.01,3.07493380399329,1.5514932e-05,1328.29436212892,1.3032724062538,21.7207187338189,-68.6342641585913,12.747,1656.59204939048,1.29488497033253,0.87936926,0.308246999979019,0.0092169,3246.0,4.91671,481.447611459224,PC,"[1, 2, 27, 28, 29]"
4471,230129753,4459.01,5.7497142439927,0.0012238206,2392.14177800422,2.06647635161251,251.827470959173,67.2979055602136,14.3668,13334.2378710864,6.72129217455159,0.9854563,0.577400028705597,0.017461,3750.0,4.67041,550.944568986125,PC,[40]
4484,137899948,4446.01,2.45528798863616,0.00039620255,2391.33719314706,1.90584943894947,292.872902757967,41.0642656413562,14.9826,47322.8164899873,14.0404538699366,0.9698009,0.61482298374176,0.0197802,3792.0,4.63873,756.748916671349,KP,[40]
4492,22233480,4438.01,7.44477331731351,0.0007480411,2396.41313181343,1.95378500405794,270.317084792954,35.5973597197038,11.2695,3778.54116834561,2.33498538462837,0.40710512,0.375858992338181,0.0111301,3353.0,4.84911,392.87085782079,PC,[40]
4520,239332587,4481.01,0.926277135093387,3.2248732e-05,2420.56371931225,0.949443154316126,311.267079900858,44.4990676080927,8.72762,1029.68944822501,1.40902499532139,0.47391108,0.425168991088867,0.0125082,3573.0,4.80376,871.031594487956,PC,[41]
4522,126606859,4479.01,1.15880481196006,0.00018970402,2420.75785796078,1.14661515662679,316.096508022497,24.6541953326347,12.9374,3243.37260232901,2.44907665816564,2.1008608,0.427388995885849,0.012702,3449.0,4.80176,781.594040098533,PC,[41]
4552,434105094,4506.01,5.41067511214948,1.1381838e-05,1357.52143335112,0.686806564122204,354.4097,-12.8412,13.427,32081.7070284646,4.95325031449298,19.253931,0.185012996196747,0.00588037,2938.0,5.14513,299.447855588838,PC,"[2, 29]"
4558,170789802,4508.01,3.46727789358939,9.109895e-06,1438.01209905518,0.405592768803134,69.6142940886827,-31.1894233927199,11.8371,3657.06035533876,2.113546581762,1.3841863,0.332563996315002,0.0099286,3383.0,4.89132,492.998842188553,PC,"[5, 32]"
4562,384888319,4529.01,5.8789642,0.000669,2495.5435645,2.058,16.9676266,12.8810523,10.141,1280.0,1.80477,0.0893594,0.49,0.01,3611.0,4.74,551.0,PC,"[42, 43]"
4564,380887434,4527.01,0.399440252046223,3.2093318e-05,2447.83374899664,0.829520116640648,19.4718778,5.4739307,9.168,365.276185942701,1.01164999981653,0.6835572,0.485947996377945,0.014338,3702.0,4.75,1247.02943427385,PC,[42]
4565,39926974,4526.01,2.26026548696204,0.0004324147,2448.65422537103,1.01034931784601,335.6244216,-7.9555149,13.345,6129.67882695305,2.72623736429689,1.4096905,0.34102401137352,0.0103601,3236.0,4.88,547.936777699069,KP,[42]
4569,369480087,4522.01,0.364322479038833,1.555192e-05,2447.84131211474,0.212068439355669,23.3044232074774,5.6453500827776,15.6615,38216.7895418059,6.95273914129087,3.9343698,0.347330987453461,0.0138193,3473.0,4.87657,1086.47389619701,EB,[42]
4604,248250955,4552.01,0.301150580637201,2.9006222e-05,2361.88233505577,0.64048413083924,264.7151,-47.635,11.862,1457.69739751313,1.28011238337802,0.24046646,0.28617799282074,0.00856701,3304.0,4.96212,1027.59641804422,PC,[39]
4606,107018378,4556.01,3.79242208071527,2.1155918e-05,1570.93492543009,1.23084287531311,182.92642437559,-32.5313632626858,13.0454,3704.22836365673,1.56026239485541,0.21874163,0.218553006649017,0.00658607,3319.0,5.03236,414.650410639483,PC,"[10, 37]"
4610,307849973,4567.01,0.840934295590172,1.0832087e-05,1543.86249999446,1.01531933277497,128.505893539174,-66.7683880012794,11.9212,526.801181608184,1.41328242682164,2.684161,0.608497977256775,0.0180226,3830.0,4.64404,1088.33403058311,PC,"[9, 11, 35, 36, 37, 38]"
4611,149126400,4569.01,1.22531587062166,3.3922515e-05,2036.84285950049,3.43575795300198,81.0241989608288,-63.0279345754661,15.764,6006.51750693148,2.38200116599451,0.4548741,0.29764398932457,0.0114841,3725.0,4.92832,743.111655763343,PC,"[27, 30, 35, 36, 37, 38, 39]"
4613,307849973,4567.02,23.5422221212153,0.00032987917,1548.58540871725,3.5680356558724,128.505893539174,-66.7683880012794,11.9212,1298.95603140093,2.56229087801977,0.34091938,0.608497977256775,0.0180226,3830.0,4.64404,358.426748887194,PC,"[9, 11, 35, 36, 37, 38]"
