TIC_ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,Notes,M_p,dM_p,LCO_rms,rms_err,Data
#244161191,278.01,5,O,-,,-,-,-,-,-,-,-,,0.154,,2955,4.8,0,0.154,,3,-,-,0.00,-,,,,,,-,-,FALSE
#101955023,667.01,5,KP,,,,,,,,,,,,,,4.7,0,,,9,,,0.00,,,,GJ 1132b,,,-,-,FALSE
#192826603,551.01,5,KP,2.6474010,,1438.080870,1.1,82.714381,-36.6307970,13.9,21352,9.44,,0.570,,3916,4.7,0,,,5,0.1520,11.72,0.00,71.0,,,NGTS-1b,,,-,-,FALSE
#33521996,468.01,5,KP,3.3252850,,1469.311680,2.0,88.146797,-19.0316540,13.3,36142,10.98,,0.570,,3724,4.7,0,,,6,0.1768,13.65,0.00,42.8,,,HATS-6,,,-,-,FALSE
#92226327.01,256.01,5,KP,24.7369590,,1389.285282,2.0,11.247108,-15.2712940,11.2,4089,1.73,,0.232,,3182,4.7,0,,,3,0.0683,94.70,0.00,0.5,,,LHS-1140b,,,-,-,FALSE
#92226327.02,256.02,5,KP,3.7779310,,1389.293276,1.0,11.247108,-15.2712940,11.2,3335,1.28,,0.232,,3182,4.7,0,,,3,0.0507,27.06,0.00,5.8,,,LHS-1140c,,,-,-,FALSE
#67646988,1779.01,5,KP,,,,,,,,,,,,,,4.7,0,,,,,,,,,,,,,,,FALSE
#,1796.01,5,KP,,,,,,,,,,,,,,4.7,0,,,,,,,,,,,,,,,FALSE
#441420236,2221.01,1,KP,,,,,,,,,,,,,,4.7,0,,,,,,,,,,Au Mic b,,,,,FALSE
413248763,562.01,5,P,3.9306228,0.000090,1517.999665,1.5,144.006800,-21.6608000,8.7,1164,1.17,0.07,0.337,0.050,3505,4.9,0,0.342,9.44,8,0.0317,21.81,0.41,13.1,0.3,531,"Gl 357b, second non-transiting planet in system, Luque et al 2019",1.63,0.30,0.0021485,0.0004214,FALSE
98796344,455.01,5,P,5.3587600,0.000120,1412.708786,1.4,45.464200,-16.5934000,8.6,2498,1.35,0.00,0.271,0.050,3340,5.0,0,0.260,6.90,4,0.0458,30.30,0.27,5.6,0.3,428,"LTT 1445 Ab, Winters et al 2019",2.2,2.0,-,-,FALSE
200322593,540.01,3,P,1.2391330,0.000018,1468.824507,0.5,76.310149,-47.9376290,11.5,2255,4.76,1.00,0.179,0.050,3042,4.4,0,0.179,14.00,6,0.2444,15.32,0.00,15.1,0.3,503,Ment et al (in prep),,,-,-,FALSE
120916706,263.01,5,P,0.5567370,0.000073,1386.172349,0.9,37.108272,-25.0973300,15.9,63679,5.22,1.00,0.205,0.050,3116,5.1,0,0.205,273.00,3,0.2338,8.20,0.00,58.2,0.3,704,Parviainen+ 2019,,,-,-,FALSE
234523599,127.01,5,P,3.7956100,0.000190,1325.650197,2.0,15.551099,-61.7560010,14.1,55371,23.75,1.00,0.500,0.050,3424,4.4,0,0.500,140.00,1,0.4358,16.27,0.00,21.5,0.5,505,"HATS-71b, Bakos 2019",,,-,-,FALSE
259377017,270.01,1,P,5.6605883,0.000068,1389.502678,1.7,68.415442,-51.9561690,10.4,3810,2.58,1.00,0.415,0.050,3551,4.8,0,0.415,22.50,3,0.0570,24.04,0.00,11.4,0.3,468,Guenther et al 2019 (masses - Van Eylen et al 2019),,,-,-,FALSE
